NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-288 d,,0.288618,56.633742,,90,2454968.55296,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 10180 f,0.0743252,0.49279,122.72,0.133,265,2454027.5528,2.95,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
Kepler-445 c,,0.0317534,4.871229,0,,,,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
HD 45350 b,1.83614,1.94413,963.6,0.778,343.4,2451825.3,58,Endl 2006,http://adsabs.harvard.edu/abs/2006AJ....131.3131E,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M
HD 69830 c,0.0367709,0.185072,31.559999,0.13,221,2453469.6,2.66,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L
TYC 1422-614-1 b,2.5,0.697981,198.4,0.06,50,2453236.5,82,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015A%26A...573A..36N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015A%26A...573A..36N
Kepler-21 b,,0.0427173,2.785755,0,90,2455093.8,,Howell 2012,http://adsabs.harvard.edu/abs/2012ApJ...746..123H,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-352 c,,0.125984,16.332995,,90,2454969.90648,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-363 b,,0.046094,3.614568,,90,2454967.69656,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-390 b,,0.0698175,6.738088,,90,2454966.32269,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
CoRoT-28 b,0.483851,0.0590095,5.20851,0.047,126,,56.4,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C
Kepler-340 b,,0.118208,14.844387,,90,2454976.58289,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-335 c,,0.325549,67.844469,,90,2454982.49928,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 47186 b,0.071203,0.0498411,4.0845,0.038,59,2454566.95,9.12,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
Kepler-226 b,,0.0488289,3.940997,,90,2454969.09337,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
KELT-3 b,1.454,0.0412729,2.70339,0,90,2456024.23,179.6,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P
Kepler-51 c,,0.379271,85.3128662,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B
HD 148427 b,1.14357,1.03886,331.5,0.16,277,2453991,27.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
Kepler-226 c,,0.0598621,5.349555,,90,2455004.80599,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
epsilon Tau b,7.67663,1.93647,594.90002,0.151,94.4,2452879,95.9,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S
Kepler-11 e,,0.19466,31.9996,0.012,90,2455595.0755,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-366 c,,0.1055,12.51616,,90,2454968.0286,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HAT-P-46 b,0.495889,0.0576688,4.463129,0.123,70,,52.2,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H
HD 208487 b,0.5122,0.520765,130.08,0.24,113,2450999,19.7,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T
Kepler-288 c,,0.140842,19.305772,,90,2455206.19055,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-48 d,,0.229818,42.8961,0,,,1.57,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-311 b,,0.0857785,9.176092,,90,2454971.7174,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-117 c,,0.268407,50.790412,,90,2454968.63097,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
epsilon Eri b,1.05448,3.37558,2500,0.25,6,2448940,18.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Hatzes 2000,http://adsabs.harvard.edu/abs/2000ApJ...544L.145H
Kepler-69 c,,0.709354,242.4613,0.14,,2454843.964,,Barclay 2013,http://adsabs.harvard.edu/abs/2013ApJ...768..101B,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B
Kepler-296 f,,0.310961,63.335879,,90,2454995.61161,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 20782 b,1.9,1.36607,591.9,0.97,147.7,2451083.8,185.3,O'Toole 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392..641O,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J
Kepler-228 c,,0.050414,4.134444,,90,2455005.97678,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
